district_code,year,bus_replace,attendance,gifted,white,college,advtgd,fleet_size,pupils_trans,enrollment
261333,2012,11.75088119506836,92.57732391357422,0,31,6,25,3,63.5,97
461382,2010,0,93.43199920654297,17,87,22,36,2,31,125
461382,2011,2.060722589492798,91.42857360839844,14,71,21,28,1,62,126
461382,2012,3.942310810089111,94.70634460449219,13,62,19,25,1,44.5,126
461408,2012,3.942310810089111,93.39887237548828,18,202,37,134,4,70,534
461424,2010,0,92.08743286132813,776,6081,1976,5670,10,694,12364
461424,2009,0,95.42997741699219,713,6327,1894,5514,11,729,12931
461432,2009,0,93.8031005859375,80,653,242,532,4,363,1097
461440,2009,0,95.14814758300781,0,13,7,0,4,17.7,27
461440,2010,0,68.77777862548828,0,9,4,0,1,14.8,27
461440,2011,2.060722589492798,34.2400016784668,1,6,2,0,1,16.9,50
461457,2010,0,86.26356506347656,0,62,15,9,5,257.4,129
461457,2009,0,91.54135894775391,0,80,10,17,5,129.4,133
461457,2011,2.060722589492798,92.43965911865234,0,71,11,14,3,158.5,116
461457,2012,3.942310810089111,81.32089233398438,0,73,11,30,4,77.90000000000001,134
461499,2010,0,100.1870269775391,35,108,71,108,1,83.59999999999999,262
461499,2011,2.060722589492798,95.36206817626953,61,106,80,111,1,70.2,290
461499,2012,3.942310810089111,98.37828826904297,64,115,84,124,1,86.3,304
461507,2010,0,91.57680511474609,53,1051,217,519,13,560,2682
461507,2009,0,93.98521423339844,57,1257,205,598,13,656,2773
461507,2011,2.060722589492798,93.36188507080078,58,978,207,479,13,565,2650
461507,2012,3.942310810089111,95.86666107177734,65,987,216,444,13,560,2655
461515,2010,0,87.90950012207031,103,923,230,633,13,337,2862
461515,2012,3.942310810089111,91.20925903320313,30,870,221,688,13,340,2614
461523,2010,0,90.15242767333984,67,361,77,187,5,627.6,1358
461531,2010,0,81.94820404052734,184,2672,558,1491,19,1473,4383
461531,2011,2.060722589492798,80.21327972412109,144,2485,548,1314,19,1402,4173
461531,2012,3.942310810089111,79.78194427490234,117,2432,533,1330,16,1402,4343
461549,2009,0,92.62783050537109,53,491,87,161,5,433,1416
461549,2010,0,94.54438781738281,52,440,80,146,7,450,1363
461549,2012,3.942310810089111,75.53604125976563,13,430,77,125,6,330,1304
475507,2010,0,89.82476043701172,1,605,75,538,7,553,2157
475507,2009,0,94.84018707275391,14,622,56,1299,7,509,2115
475507,2012,3.942310810089111,96.81901550292969,1,528,119,399,7,520,2072
561556,2011,0,90.41677093505859,90,447,132,379,7,259.7,823
561556,2009,0,91.62920379638672,121,509,126,442,6,238.3,863
561556,2010,0,91.86170196533203,106,484,135,385,5,254.1,846
561556,2012,7.239819049835205,94.9974365234375,54,419,137,341,7,244.7,781
561564,2009,0,92.04660034179688,185,2154,376,1723,18,1590,3648
561564,2011,0,93.90637969970703,182,2033,337,1532,18,2181,3386
561564,2012,7.239819049835205,96.93759155273438,175,1955,346,1393,18,1218,3301
561572,2010,0,94.35106658935547,34,454,105,261,5,268,752
561572,2009,0,97.05689239501953,44,469,109,292,6,292,791
561572,2011,0,94.93470001220703,25,440,109,270,5,270,781
561572,2012,7.239819049835205,97.08184051513672,13,424,117,265,5,280,782
561580,2009,0,92.84528350830078,82,523,167,393,6,580,795
561580,2011,0,98.62141418457031,52,454,142,319,6,416,663
561580,2012,7.239819049835205,96.822998046875,31,418,133,281,8,420,661
661598,2010,0,92.93962097167969,58,345,95,354,2,105,1358
661598,2011,0,96.46221160888672,31,329,107,321,3,88,1363
661598,2009,0,94.14562225341797,0,354,80,370,2,83,1394
661598,2012,4.329004287719727,96.90419006347656,22,315,123,324,3,78,1409
661606,2011,0,95.72280120849609,39,122,26,102,2,47,386
661606,2009,0,95.620849609375,48,173,28,168,2,55,422
661606,2012,4.329004287719727,96.5877685546875,42,116,31,107,2,43,376
661622,2009,0,92.41133117675781,47,121,33,146,5,108.9,1218
661622,2011,0,95.50823211669922,0,99,36,148,5,151,1275
861820,2009,0,85.29899597167969,424,1583,244,1138,27,839.3,3893
861820,2011,2.667970895767212,88.22793579101563,388,1448,242,992,23,833.1,3716
861820,2012,6.694080352783203,89.48477935791016,370,1362,234,862,30,717.1,3713
961945,2010,0,92.64089965820313,0,271,59,194,4,201,401
961945,2009,0,91.91802978515625,0,282,64,218,4,206,427
961945,2011,2.060722589492798,93.98731231689453,0,244,57,163,4,204,394
961945,2012,3.942310810089111,96.71597290039063,0,212,46,134,4,184,338
1162646,2010,0,93.10762023925781,0,65,15,53,3,99,223
1162646,2011,0,91.64069366455078,0,64,14,53,3,108,231
1162646,2012,4.329004287719727,97.74879455566406,0,49,11,33,3,104,207
1262679,2009,0,56.16594696044922,58,527,189,330,4,184.2,922
1262679,2011,2.667970895767212,53.98221969604492,53,487,174,313,4,152,956
1262687,2009,0,83.99769592285156,23,881,68,984,7,391,1734
